îN,åé,í¿ã‡éwêî
2011.0,1,92.5
2011.0,2,89.7
2011.0,3,93.0
2011.0,4,91.7
2011.0,5,91.4
2011.0,6,147.2
2011.0,7,123.8
2011.0,8,92.3
2011.0,9,89.9
2011.0,10,90.4
2011.0,11,94.2
2011.0,12,186.7
2012.0,1,91.2
2012.0,2,89.3
2012.0,3,93.1
2012.0,4,91.3
2012.0,5,90.0
2012.0,6,146.5
2012.0,7,122.2
2012.0,8,92.6
2012.0,9,89.5
2012.0,10,90.1
2012.0,11,93.1
2012.0,12,182.9
2013.0,1,91.3
2013.0,2,88.9
2013.0,3,92.7
2013.0,4,91.6
2013.0,5,89.8
2013.0,6,146.6
2013.0,7,120.6
2013.0,8,90.5
2013.0,9,87.9
2013.0,10,88.5
2013.0,11,91.6
2013.0,12,180.6
2014.0,1,89.2
2014.0,2,86.8
2014.0,3,91.4
2014.0,4,88.4
2014.0,5,86.3
2014.0,6,141.8
2014.0,7,118.3
2014.0,8,87.4
2014.0,9,84.9
2014.0,10,85.4
2014.0,11,88.7
2014.0,12,177.2
2015.0,1,87.3
2015.0,2,84.7
2015.0,3,89.0
2015.0,4,88.3
2015.0,5,86.5
2015.0,6,137.6
2015.0,7,119.0
2015.0,8,87.6
2015.0,9,85.2
2015.0,10,85.8
2015.0,11,88.7
2015.0,12,176.5
2016.0,1,87.4
2016.0,2,85.1
2016.0,3,90.3
2016.0,4,88.5
2016.0,5,86.9
2016.0,6,140.3
2016.0,7,120.8
2016.0,8,88.1
2016.0,9,85.8
2016.0,10,85.8
2016.0,11,88.7
2016.0,12,177.1
2017.0,1,87.3
2017.0,2,85.0
2017.0,3,90.0
2017.0,4,88.6
2017.0,5,87.2
2017.0,6,140.1
2017.0,7,119.7
2017.0,8,88.0
2017.0,9,85.8
2017.0,10,85.8
2017.0,11,89.0
2017.0,12,176.3
2018.0,1,86.5
2018.0,2,84.2
2018.0,3,90.4
2018.0,4,88.1
2018.0,5,87.7
2018.0,6,142.8
2018.0,7,119.9
2018.0,8,87.2
2018.0,9,85.1
2018.0,10,85.2
2018.0,11,89.6
2018.0,12,178.5
2019.0,1,85.8
2019.0,2,83.4
2019.0,3,88.7
2019.0,4,86.9
2019.0,5,86.5
2019.0,6,142.1
2019.0,7,118.1
2019.0,8,86.8
2019.0,9,85.2
2019.0,10,85.1
2019.0,11,89.2
2019.0,12,176.5
2020.0,1,86.0
2020.0,2,83.5
2020.0,3,88.1
2020.0,4,86.1
2020.0,5,84.2
2020.0,6,139.2
2020.0,7,115.9
2020.0,8,85.7
2020.0,9,84.7
2020.0,10,85.2
2020.0,11,88.6
2020.0,12,173.5
2021.0,1,85.6
2021.0,2,83.8
2021.0,3,89.0
2021.0,4,88.6
2021.0,5,86.8
2021.0,6,139.9
2021.0,7,117.1
2021.0,8,86.6
2021.0,9,84.7
2021.0,10,85.3
2021.0,11,88.7
2021.0,12,171.2
